Date,Price,Open,High,Low,Vol.,Change %
12/31/2013,"1,848.40","1,842.60","1,849.40","1,842.40",,0.40%
12/30/2013,"1,841.10","1,841.50","1,842.50","1,838.80",,-0.02%
12/27/2013,"1,841.40","1,843.00","1,844.90","1,839.80",,-0.03%
12/26/2013,"1,842.00","1,835.00","1,842.80","1,835.00",,0.47%
12/24/2013,"1,833.30","1,828.00","1,833.30","1,828.00",,0.29%
12/23/2013,"1,828.00","1,822.90","1,829.80","1,822.90",,0.53%
12/20/2013,"1,818.30","1,810.40","1,823.80","1,810.20",,0.48%
12/19/2013,"1,809.60","1,809.00","1,810.90","1,801.30",,-0.06%
12/18/2013,"1,810.70","1,781.50","1,811.10","1,768.00",,1.67%
12/17/2013,"1,781.00","1,786.50","1,786.80","1,777.00",,-0.31%
12/16/2013,"1,786.50","1,777.50","1,792.20","1,777.50",,0.63%
12/13/2013,"1,775.30","1,778.00","1,780.90","1,772.50",,-0.01%
12/12/2013,"1,775.50","1,781.70","1,783.00","1,772.30",,-0.38%
12/11/2013,"1,782.20","1,802.80","1,803.00","1,780.10",,-1.13%
12/10/2013,"1,802.60","1,807.60","1,808.50","1,801.80",,-0.32%
12/9/2013,"1,808.40","1,806.20","1,811.50","1,806.20",,0.18%
12/6/2013,"1,805.10","1,788.40","1,806.00","1,788.40",,1.13%
12/5/2013,"1,785.00","1,792.80","1,792.80","1,783.40",,-0.44%
12/4/2013,"1,792.80","1,793.20","1,799.80","1,779.10",,-0.13%
12/3/2013,"1,795.20","1,800.10","1,800.10","1,787.80",,-0.32%
12/2/2013,"1,800.90","1,806.50","1,810.00","1,798.60",,-0.27%
11/29/2013,"1,805.80","1,808.70","1,813.50","1,804.00",,-0.08%
11/27/2013,"1,807.20","1,803.50","1,808.30","1,802.80",,0.24%
11/26/2013,"1,802.80","1,802.90","1,808.40","1,800.80",,0.02%
11/25/2013,"1,802.50","1,806.30","1,808.10","1,800.60",,-0.13%
11/22/2013,"1,804.80","1,797.20","1,804.80","1,794.70",,0.50%
11/21/2013,"1,795.80","1,783.50","1,797.20","1,783.50",,0.81%
11/20/2013,"1,781.40","1,789.60","1,795.70","1,777.20",,-0.36%
11/19/2013,"1,787.90","1,790.80","1,795.50","1,784.70",,-0.20%
11/18/2013,"1,791.50","1,798.80","1,802.30","1,788.00",,-0.37%
11/15/2013,"1,798.20","1,790.70","1,798.20","1,790.70",,0.42%
11/14/2013,"1,790.60","1,782.80","1,791.50","1,780.20",,0.48%
11/13/2013,"1,782.00","1,764.40","1,782.00","1,760.60",,0.81%
11/12/2013,"1,767.70","1,769.50","1,771.80","1,762.30",,-0.24%
11/11/2013,"1,771.90","1,770.00","1,773.40","1,767.80",,0.07%
11/8/2013,"1,770.60","1,748.40","1,770.80","1,747.60",,1.34%
11/7/2013,"1,747.20","1,770.70","1,774.50","1,746.20",,-1.32%
11/6/2013,"1,770.50","1,765.00","1,773.70","1,764.40",,0.43%
11/5/2013,"1,763.00","1,765.70","1,767.00","1,755.80",,-0.28%
11/4/2013,"1,767.90","1,763.40","1,768.80","1,761.60",,0.36%
11/1/2013,"1,761.60","1,758.70","1,765.70","1,752.70",,0.29%
10/31/2013,"1,756.50","1,763.20","1,768.50","1,755.70",,-0.39%
10/30/2013,"1,763.30","1,772.30","1,775.20","1,757.20",,-0.49%
10/29/2013,"1,772.00","1,762.90","1,772.10","1,762.90",,0.56%
10/28/2013,"1,762.10","1,759.40","1,765.00","1,757.70",,0.13%
10/25/2013,"1,759.80","1,756.00","1,759.80","1,752.50",,0.44%
10/24/2013,"1,752.10","1,747.50","1,753.90","1,745.50",,0.33%
10/23/2013,"1,746.40","1,752.30","1,752.30","1,740.50",,-0.47%
10/22/2013,"1,754.70","1,746.50","1,759.30","1,746.50",,0.57%
10/21/2013,"1,744.70","1,745.20","1,747.80","1,740.70",,0.01%
10/18/2013,"1,744.50","1,736.70","1,745.30","1,735.70",,0.65%
10/17/2013,"1,733.20","1,720.20","1,733.50","1,714.10",,0.68%
10/16/2013,"1,721.50","1,700.50","1,721.80","1,700.50",,1.38%
10/15/2013,"1,698.10","1,709.20","1,711.60","1,695.90",,-0.70%
10/14/2013,"1,710.10","1,699.90","1,711.00","1,692.10",,0.41%
10/11/2013,"1,703.20","1,691.10","1,703.40","1,688.50",,0.63%
10/10/2013,"1,692.60","1,660.90","1,692.60","1,660.90",,2.19%
10/9/2013,"1,656.40","1,657.00","1,662.50","1,646.50",,0.05%
10/8/2013,"1,655.50","1,676.20","1,676.80","1,655.00",,-1.23%
10/7/2013,"1,676.10","1,687.20","1,687.20","1,674.70",,-0.85%
10/4/2013,"1,690.50","1,678.80","1,691.90","1,677.30",,0.70%
10/3/2013,"1,678.70","1,692.30","1,692.30","1,670.40",,-0.90%
10/2/2013,"1,693.90","1,691.90","1,693.90","1,680.30",,-0.06%
10/1/2013,"1,695.00","1,682.40","1,696.50","1,682.10",,0.80%
9/30/2013,"1,681.50","1,687.30","1,687.30","1,675.00",,-0.61%
9/27/2013,"1,691.80","1,695.50","1,695.50","1,687.10",,-0.41%
9/26/2013,"1,698.70","1,694.00","1,703.80","1,693.10",,0.35%
9/25/2013,"1,692.80","1,698.00","1,701.70","1,691.90",,-0.27%
9/24/2013,"1,697.40","1,702.60","1,707.60","1,694.90",,-0.26%
9/23/2013,"1,701.80","1,711.40","1,711.40","1,697.10",,-0.47%
9/20/2013,"1,709.90","1,722.40","1,725.20","1,708.90",,-0.72%
9/19/2013,"1,722.30","1,727.30","1,729.90","1,720.20",,-0.19%
9/18/2013,"1,725.50","1,705.70","1,729.40","1,700.30",,1.21%
9/17/2013,"1,704.80","1,697.70","1,705.50","1,697.70",,0.42%
9/16/2013,"1,697.60","1,691.70","1,705.00","1,691.70",,0.57%
9/13/2013,"1,688.00","1,685.00","1,688.70","1,682.20",,0.27%
9/12/2013,"1,683.40","1,689.20","1,690.00","1,682.00",,-0.34%
9/11/2013,"1,689.10","1,681.00","1,689.10","1,678.70",,0.30%
9/10/2013,"1,684.00","1,674.30","1,684.10","1,674.30",,0.74%
9/9/2013,"1,671.70","1,656.80","1,672.40","1,656.80",,1.00%
9/6/2013,"1,655.20","1,657.40","1,664.80","1,640.60",,0.01%
9/5/2013,"1,655.10","1,653.30","1,659.20","1,653.10",,0.12%
