Date,Price,Open,High,Low,Vol.,Change %,Swing (Day),Swing Ratio (Day),3 M High,3 M Low,Swing Ratio (M),Log Swing Ratio (M),YR HIGH,YR Low,Swing Ratio (YR),Swing Ratio (YR) log,LN(Price,,,,,,,,,,,,
7/22/2022,"22,675.20","23,150.00","23,741.40","22,524.20",197.54K,-2.06%,1217.2,0.053123609,40770,17630.5,0.850177702,-0.07049029,68990.6,17630.5,1.216152455,0.084988021,10.0290271,4387,8.386400901,4.355551126,,,,,,,,,
7/23/2022,"22,460.40","22,683.60","22,991.00","21,971.70",137.42K,-0.95%,1019.3,0.045157718,40770,17630.5,0.856120473,-0.067465117,68990.6,17630.5,1.217032226,0.085302078,10.01950904,4388,8.386628821,4.351417486,,,,,,,,,
7/24/2022,"22,582.10","22,449.80","22,987.90","22,281.30",126.66K,0.54%,706.6,0.031382198,40770,17630.5,0.862447287,-0.06426744,68990.6,17630.5,1.217921167,0.085619179,10.02491284,4389,8.38685669,4.353764326,,,,,,,,,
7/25/2022,"21,301.90","22,582.30","22,653.30","21,275.40",206.93K,-5.67%,1377.9,0.062797089,40382,17630.5,0.85393093,-0.068577256,68990.6,17630.5,1.219037012,0.086016892,9.96655155,4390,8.387084506,4.328418342,,,,,,,,,
7/26/2022,"21,248.70","21,301.60","21,322.30","20,737.30",201.57K,-0.25%,585,0.027496868,40382,17630.5,0.860387461,-0.065305927,68990.6,17630.5,1.220308887,0.086469774,9.964050996,4391,8.387312271,4.327332365,,,,,,,,,
7/27/2022,"22,958.30","21,248.00","23,027.80","21,047.50",242.66K,8.05%,1980.3,0.089593565,40021,17630.5,0.852751608,-0.069177453,68990.6,17630.5,1.221620499,0.086936312,10.04143481,4392,8.387539983,4.360939727,,,,,,,,,
7/28/2022,"23,850.00","22,957.70","24,190.50","22,611.60",268.32K,3.88%,1578.9,0.067463259,40021,17630.5,0.858100783,-0.066461702,68990.6,17630.5,1.22290777,0.087393704,10.0795395,4393,8.387767644,4.377488383,,,,,,,,,
7/29/2022,"23,774.30","23,850.20","24,340.00","23,451.40",221.66K,-0.32%,888.6,0.037316927,40021,17630.5,0.86320112,-0.063888005,68990.6,17630.5,1.224203664,0.087853675,10.07636044,4394,8.387995253,4.376107739,,,,,,,,,
7/30/2022,"23,634.20","23,774.20","24,605.30","23,521.80",168.72K,-0.59%,1083.5,0.045709199,40021,17630.5,0.868718491,-0.061120934,68990.6,17630.5,1.225689972,0.088380633,10.07045009,4395,8.38822281,4.373540906,,,,,,,,,
7/31/2022,"23,303.40","23,634.20","24,179.30","23,236.20",138.84K,-1.40%,943.1,0.040185267,40021,17630.5,0.87445246,-0.058263796,68990.6,17630.5,1.227154276,0.088899165,10.05635455,4396,8.388450316,4.36741929,,,,,,,,,
8/1/2022,"23,271.20","23,303.40","23,484.40","22,863.80",162.33K,-0.14%,620.6,0.026649719,40021,17630.5,0.879969027,-0.055532614,68990.6,17630.5,1.228489781,0.089371548,10.05497182,4397,8.388677769,4.366818779,,,,,,,,,
8/2/2022,"22,988.60","23,271.10","23,423.30","22,670.80",177.30K,-1.21%,752.5,0.032533717,39833,17630.5,0.878990262,-0.056015936,68990.6,17630.5,1.229793723,0.089832272,10.04275372,4398,8.388905171,4.361512524,,,,,,,,,
8/3/2022,"22,820.80","22,988.70","23,623.70","22,698.60",174.66K,-0.73%,925.1,0.040389002,36646,17630.5,0.757389984,-0.120680442,68990.6,17630.5,1.231030078,0.090268664,10.03542768,4399,8.389132521,4.358330865,,,,,,,,,
8/4/2022,"22,612.10","22,822.20","23,214.50","22,438.70",181.19K,-0.91%,775.8,0.034150411,36119,17630.5,0.740791576,-0.130303965,68990.6,17630.5,1.232415981,0.090757321,10.02624044,4400,8.38935982,4.354340897,,,,,,,,,
8/5/2022,"23,308.20","22,613.30","23,447.60","22,593.50",208.90K,3.08%,854.1,0.037198262,35497,17630.5,0.719765923,-0.142808718,68990.6,17630.5,1.233840268,0.09125894,10.05656051,4401,8.389587067,4.367508736,,,,,,,,,
8/6/2022,"22,944.20","23,308.20","23,344.40","22,923.60",94.44K,-1.56%,420.8,0.018195813,34227,17630.5,0.671946352,-0.1726654,68990.6,17630.5,1.235454454,0.091826739,10.04082046,4402,8.389814262,4.36067292,,,,,,,,,
8/7/2022,"23,175.30","22,944.20","23,387.70","22,852.30",99.36K,1.01%,535.4,0.023217945,32621.2,17630.5,0.608827162,-0.21550598,68990.6,17630.5,1.237202494,0.092440787,10.05084234,4403,8.390041406,4.365025365,,,,,,,,,
8/8/2022,"23,816.30","23,175.30","24,234.10","23,160.60",197.94K,2.77%,1073.5,0.045689017,32377.5,17630.5,0.600879541,-0.221212583,68990.6,17630.5,1.238835753,0.093013731,10.0781255,4404,8.390268498,4.376874292,,,,,,,,,
8/9/2022,"23,146.70","23,818.10","23,912.00","22,886.50",169.62K,-2.81%,1025.5,0.043671005,32377.5,17630.5,0.60249474,-0.22004674,68990.6,17630.5,1.240732859,0.093678284,10.0496075,4405,8.390495538,4.364489083,,,,,,,,,
8/10/2022,"23,962.90","23,150.30","24,209.90","22,714.70",243.61K,3.53%,1495.2,0.063472657,32377.5,17630.5,0.60386896,-0.219057293,68990.6,17630.5,1.24251169,0.094300483,10.08426208,4406,8.390722527,4.379539375,,,,,,,,,
8/11/2022,"23,935.30","23,963.30","24,873.50","23,864.00",285.36K,-0.12%,1009.5,0.042151545,32377.5,17630.5,0.605342216,-0.217999038,68990.6,17630.5,1.244295472,0.094923521,10.08310964,4407,8.390949465,4.379038875,,,,,,,,,
8/12/2022,"24,398.70","23,935.30","24,440.80","23,616.40",194.96K,1.94%,824.4,0.034112633,32377.5,17630.5,0.60691497,-0.21687215,68990.6,17630.5,1.24594986,0.095500566,10.10228513,4408,8.391176351,4.387366687,,,,,,,,,
8/13/2022,"24,442.50","24,398.90","24,882.90","24,318.70",170.59K,0.18%,564.2,0.023103351,32377.5,17630.5,0.608826547,-0.215506419,68990.6,17630.5,1.247887856,0.096175558,10.1040787,4409,8.391403185,4.388145624,,,,,,,,,
8/14/2022,"24,302.80","24,442.10","24,997.30","24,172.20",177.25K,-0.57%,825.1,0.033853798,32377.5,17630.5,0.610379444,-0.2144001,68990.6,17630.5,1.249782905,0.09683458,10.09834685,4410,8.391629968,4.385656313,,,,,,,,,
8/15/2022,"24,101.70","24,303.30","25,205.70","23,784.50",279.28K,-0.83%,1421.2,0.058721206,32377.5,17630.5,0.612163147,-0.213132819,68990.6,17630.5,1.251692986,0.097497819,10.09003766,4411,8.3918567,4.382047676,,,,,,,,,
8/16/2022,"23,856.80","24,102.60","24,240.80","23,693.80",201.70K,-1.02%,547,0.022810961,32377.5,17630.5,0.613529064,-0.212164859,68990.6,17630.5,1.253546036,0.098140288,10.07982457,4412,8.39208338,4.37761219,,,,,,,,,
8/17/2022,"23,338.00","23,855.80","24,423.50","23,191.60",239.53K,-2.17%,1231.9,0.05220601,32377.5,17630.5,0.615511628,-0.210763738,68990.6,17630.5,1.255338513,0.098760853,10.05783821,4413,8.392310009,4.368063636,,,,,,,,,
8/18/2022,"23,203.60","23,337.70","23,578.00","23,131.30",160.97K,-0.58%,446.7,0.019195854,32377.5,17630.5,0.617221916,-0.209558662,68990.6,17630.5,1.257150168,0.099387158,10.05206272,4414,8.392536587,4.36555537,,,,,,,,,
8/19/2022,"20,831.30","23,201.60","23,202.30","20,807.80",339.47K,-10.22%,2394.5,0.108759587,32377.5,17630.5,0.619701293,-0.207817598,68990.6,17630.5,1.25933956,0.100142846,9.944211942,4415,8.392763113,4.318716373,,,,,,,,,
8/20/2022,"21,138.90","20,830.70","21,357.40","20,784.80",206.94K,1.48%,572.6,0.027286417,32377.5,17630.5,0.622359504,-0.205958674,68990.6,17630.5,1.261728524,0.100965921,9.958870224,4416,8.392989588,4.325082384,,,,,,,,,
8/21/2022,"21,517.20","21,138.90","21,692.40","21,077.40",177.52K,1.79%,615,0.028835266,32377.5,17630.5,0.624578353,-0.204413072,68990.6,17630.5,1.264056119,0.101766355,9.976607894,4417,8.393216012,4.332785757,,,,,,,,,
8/22/2022,"21,416.30","21,516.80","21,517.40","20,912.10",251.83K,-0.47%,605.3,0.028197358,32377.5,17630.5,0.627007422,-0.202727318,68990.6,17630.5,1.266433348,0.102582338,9.971907593,4418,8.393442384,4.330744442,,,,,,,,,
8/23/2022,"21,517.20","21,416.50","21,661.00","20,919.60",228.65K,0.47%,741.4,0.034536972,32377.5,17630.5,0.629393073,-0.201078041,68990.6,17630.5,1.268835364,0.103405274,9.976607894,4419,8.393668705,4.332785757,,,,,,,,,
8/24/2022,"21,365.20","21,516.20","21,832.30","21,171.10",202.40K,-0.71%,661.2,0.030838545,32377.5,17630.5,0.631741283,-0.199460742,68990.6,17630.5,1.2711023,0.104180505,9.969518709,4420,8.393894975,4.329706963,,,,,,,,,
8/25/2022,"21,565.40","21,365.40","21,801.20","21,324.80",190.15K,0.94%,476.4,0.022193856,32377.5,17630.5,0.633864052,-0.198003877,68990.6,17630.5,1.27347074,0.104988971,9.978845457,4421,8.394121194,4.333757518,,,,,,,,,
8/26/2022,"20,249.90","21,564.20","21,815.30","20,122.40",322.16K,-6.10%,1692.9,0.080972686,32377.5,17630.5,0.636532301,-0.196179553,68990.6,17630.5,1.275774445,0.105773899,9.915905134,4422,8.394347361,4.306422883,,,,,,,,,
8/27/2022,"20,033.90","20,249.90","20,343.60","19,849.80",187.34K,-1.07%,493.8,0.024516059,32377.5,17630.5,0.639424546,-0.194210696,68990.6,17630.5,1.278299908,0.106632758,9.905181118,4423,8.394573478,4.301765502,,,,,,,,,
