base_btc_allocation,buy_tiers,sell_tiers,median_value,mean_value,std_value,cagr,max_value,min_value,percentile_25,percentile_75,median_improvement,mean_improvement,cagr_improvement,sharpe_ratio,win_rate,beat_baseline_rate
60,"[(10, 20), (20, 30), (30, 40)]","[(20, 25), (40, 35), (60, 45)]",57814.74851887014,63149.073460660766,26664.23937255265,-0.7392669674029184,195758.1647723408,22332.50124378673,45671.78281407077,74381.40989796714,5.65660130675577,5.690270166289575,1.0863567501009141,0.12750747979931681,55.00000000000001,55.00000000000001
70,"[(15, 25), (25, 35), (35, 45)]","[(25, 30), (50, 50)]",57781.94567676359,62932.91422870431,29363.80331759595,-0.7505332046506163,226403.99461013352,16597.276984593467,41637.728407282164,76773.00200812815,5.596654028613608,5.3284924493346635,1.0750905128532162,0.10842364991920611,53.800000000000004,53.800000000000004
50,"[(15, 25), (25, 35), (35, 45)]","[(25, 30), (50, 50)]",57769.94667691138,63290.25877703044,25694.881783517376,-0.7546555762884877,272170.7301475243,19305.973203670575,46272.07064731975,75343.41949886682,5.574725825586808,5.926566811875665,1.070968141215345,0.13781247601618035,56.2,56.2
50,"[(15, 25), (25, 35), (35, 45)]","[(15, 10), (30, 20), (45, 30)]",57766.19527181255,62342.34289804066,27067.851999411876,-0.7559445480932347,321151.73617973446,18464.53544943984,44995.25245795664,73547.25024321767,5.567870123140259,4.340075041608333,1.0696791694105978,0.09580218632036792,54.800000000000004,54.800000000000004
80,"[(10, 30), (20, 40), (30, 50)]","[(20, 25), (40, 35), (60, 45)]",57763.13517942635,65962.87155416602,34125.32983674497,-0.7569960364677275,257309.24598043942,15962.971161772728,43563.29274222016,80170.10295944034,5.562277796450381,10.399620033175951,1.068627681036105,0.18208433695414356,54.800000000000004,54.800000000000004
60,"[(5, 15), (15, 25), (25, 35)]","[(25, 30), (50, 50)]",57726.229270242016,63823.813716567296,27047.653363189187,-0.7696809078590827,251750.0053545141,21816.074846958807,45261.13563510036,75200.41312278493,5.494832152692554,6.819557993184737,1.0559428096447498,0.15064634866298052,55.60000000000001,55.60000000000001
30,"[(10, 30), (20, 40), (30, 50)]","[(15, 10), (30, 20), (45, 30)]",57677.764572719694,60979.67930337535,19000.741661828037,-0.7863484896868722,158482.8304557433,28593.13161386604,47698.90608145219,70571.22517960283,5.406262793580022,2.0594353493147852,1.0392752278169604,0.06476040923952567,59.0,59.0
70,"[(5, 15), (15, 25), (25, 35)]","[(30, 20), (50, 30), (70, 40)]",57528.228720580526,62258.91705380571,27110.575909559495,-0.8378463505414824,192525.5872573192,19723.118562922587,42785.03254579103,74737.49345537351,5.132985639993905,4.200448289657084,0.9877773669623502,0.09257396687836081,55.400000000000006,55.400000000000006
40,"[(20, 40), (40, 60)]","[(25, 30), (50, 50)]",57521.19128719074,61295.33407737356,24073.13138458668,-0.8402725722979953,269497.70587652747,20813.327819335886,45596.70408602392,72997.9371195324,5.120124712411651,2.587735077479967,0.9853511452058372,0.06422723139635486,56.2,56.2
70,"[(10, 30), (20, 40), (30, 50)]","[(25, 30), (50, 50)]",57493.11671954946,63496.31445558889,30798.454627420288,-0.8499539090868091,230570.30159770016,12394.840719506781,41918.42120823709,79325.78212181278,5.068818367990455,6.271434584950869,0.9756698084170234,0.12166620057461922,54.2,54.2
40,"[(15, 25), (25, 35), (35, 45)]","[(25, 30), (50, 50)]",57472.86710198966,60745.958058135475,20330.53412941137,-0.8569392094086803,164192.6418204225,26828.052406486488,46817.24255213857,69292.16314002036,5.031812139926825,1.66826473984587,0.9686845080951523,0.049028449242394495,57.99999999999999,57.99999999999999
40,"[(15, 25), (25, 35), (35, 45)]","[(20, 25), (40, 35), (60, 45)]",57457.39535322171,62179.693264496935,23224.677393183127,-0.8622776649455988,191996.8798699701,25159.534402498008,46733.207624005765,71038.41109326817,5.003537479343299,4.067854361721505,0.9633460525582338,0.1046520356708797,57.599999999999994,57.599999999999994
40,"[(10, 30), (20, 40), (30, 50)]","[(20, 25), (40, 35), (60, 45)]",57454.122547988234,62012.720841801456,22123.490960870015,-0.8634070786521786,185436.33713453182,27272.069803437364,47273.38953815057,70965.45980498272,4.997556419379067,3.7883987894081814,0.962216638851654,0.10231375094934751,55.800000000000004,55.800000000000004
60,"[(10, 20), (20, 30), (30, 40)]","[(25, 30), (50, 50)]",57448.33878700418,63021.15273181087,26773.804506639095,-0.8654031249673011,264478.8107851042,20660.67552786164,44797.49459077815,75236.94527733122,4.986986581335983,5.476173970556213,0.9602205925365315,0.12220785557385619,54.6,54.6
30,"[(10, 20), (20, 30), (30, 40)]","[(30, 20), (50, 30), (70, 40)]",57396.447351709896,60295.38913960885,17879.015609593425,-0.8833186862951092,144760.69155574145,30940.769254225917,47431.1543321731,70414.56209364624,4.892154850150061,0.9141641946133655,0.9423050312087233,0.03055009593564595,55.2,55.2
80,"[(5, 15), (15, 25), (25, 35)]","[(25, 30), (50, 50)]",57388.437063148995,65195.883191878595,33840.436584831,-0.8860853995003248,264761.4205405366,13733.106498267636,42197.399421661976,77478.06573825607,4.877516027245643,9.115939960259965,0.9395383180035077,0.16095240617608408,55.400000000000006,55.400000000000006
30,"[(10, 20), (20, 30), (30, 40)]","[(15, 10), (30, 20), (45, 30)]",57379.411362626095,62050.78477427559,24247.598971211642,-0.8892032010613171,378468.6083565073,29168.838651257236,48525.75087199916,69239.73698016454,4.861021536374496,3.852104986289896,0.9364205164425154,0.0949207911062594,59.0,59.0
70,"[(10, 30), (20, 40), (30, 50)]","[(30, 20), (50, 30), (70, 40)]",57362.262887418576,63929.58941971161,35387.01848716708,-0.8951279821471037,304921.5449938203,15798.872518317681,39995.53708410479,80080.50512299518,4.829682653919125,6.996590877908149,0.9304957353567289,0.11813388358012555,52.400000000000006,52.400000000000006
