reserve_pct,buy_threshold,sell_threshold,median_value,mean_value,std_value,median_improvement,mean_improvement,sharpe_ratio,win_rate
30,5,80,57648.65854265897,64332.715867861036,35369.49921178721,11.971314680338306,3.544218762012101,0.06225835474378927,58.4
10,20,40,57644.172210664336,62224.297386426,31583.78092065879,11.962600852397967,0.1506958625281828,0.002964443928919977,59.0
10,25,80,57569.2110112187,64931.02034125942,36006.06105951028,11.817003291862681,4.50719643898597,0.07777444185876452,57.99999999999999
40,10,100,57500.985089124915,62502.81410429196,35040.21805672728,11.684487698521226,0.5989716048864782,0.010620512260114193,58.199999999999996
10,5,80,57476.8592155827,64368.33292833392,35614.26992971186,11.637627878247445,3.601544815350795,0.06283054219352939,56.39999999999999
40,15,80,57468.39597765689,63151.42798769583,37997.43443450305,11.62118968348348,1.6429228345096045,0.026863891314344444,58.4
10,10,20,57466.190861558825,61641.42062036364,35810.71649870014,11.616906674047273,-0.7874507486054196,-0.013662067288643316,57.199999999999996
40,15,100,57429.15082586689,64265.01218575741,34025.85588023514,11.544963603782014,3.435248935755574,0.06272709654818093,57.99999999999999
30,30,100,57317.2138158454,63291.86868280277,32501.962670051584,11.327547717786722,1.8689636888567267,0.0357270622628992,57.8
0,20,60,57304.07618589807,63899.99211150202,35397.718789983,11.302030425031363,2.847745083145675,0.049984098782639534,57.4
0,15,40,57299.02111454055,63299.52926552707,33012.531741373554,11.292211931418269,1.881293481602898,0.03540656123743335,57.599999999999994
30,25,80,57180.661985894025,61272.89343259579,30855.77824499152,11.062322328190751,-1.3805993392596951,-0.027799512928080406,56.00000000000001
0,25,80,57179.774829469854,64025.89400053106,40266.67086429341,11.060599199263683,3.050385568073283,0.04706684016900541,56.99999999999999
20,15,40,57158.97890774843,61709.091265100884,32076.86221902091,11.020207163195506,-0.6785340963560184,-0.013142737305288612,57.8
20,30,60,57105.451361526924,61517.30593059986,32587.249461903513,10.916240308223509,-0.987214716519922,-0.01882218101716779,58.4
50,5,100,57097.578416397984,63453.79517217771,33835.387924214025,10.900948642488718,2.1295861670627154,0.03910480164489014,58.599999999999994
30,15,60,57076.460433577246,61865.34304902178,29473.335683504207,10.85993106533061,-0.4270451194334309,-0.009002238248524145,57.4
30,15,100,57036.9550499895,61501.82513542796,28758.69112391166,10.783199535940417,-1.0121312278200523,-0.021866221264590126,58.4
50,10,80,56956.77448133318,62931.20624323559,30620.38823571167,10.627464365145048,1.2884734975442589,0.026143927315674352,60.6
20,5,20,56922.1462753363,60804.77992664528,28420.622431450432,10.560205805301491,-2.1340332120834393,-0.046652360108443564,60.8
10,25,40,56863.25969775292,61273.692144263034,31594.801993253554,10.44583007348532,-1.379313803984442,-0.027123983709199054,57.99999999999999
20,10,100,56862.55701681951,62064.99415960907,33170.529054177525,10.444465252344582,-0.10570444553446333,-0.001979916542997363,56.99999999999999
40,20,100,56764.14735182488,61244.20451668628,29522.019792285464,10.25332360490197,-1.4267744671849734,-0.030027231482609402,56.00000000000001
10,30,40,56730.65371466738,61558.81300538518,30982.933921918026,10.188268724515178,-0.9204086199054134,-0.018457129814736194,58.8
0,10,80,56715.23699188756,65581.83112519968,45868.94972683853,10.158324736895048,5.554683604356083,0.07523961431270672,58.599999999999994
30,20,80,56705.4052914489,60776.56816073717,30343.58376343354,10.13922856967295,-2.179440361796372,-0.04462560812338982,57.99999999999999
