Date,Price,Open,High,Low,Change %
2016-05-12,2797.5,2801.7,2810.92,2782.59,-0.02%
2016-05-13,2773.52,2795.07,2800.9,2768.78,-0.85%
2016-05-16,2799.97,2772.6,2807.01,2772.6,0.98%
2016-05-17,2773.29,2797.4,2798.35,2764.62,-0.94%
2016-05-18,2773.57,2769.24,2791.18,2755.83,0.02%
2016-05-19,2763.02,2768.7,2768.7,2743.92,-0.37%
2016-05-20,2779.41,2765.33,2787.54,2765.33,0.60%
2016-05-23,2772.81,2778.49,2783.1,2771.86,-0.21%
2016-05-24,2810.59,2778.91,2815.46,2778.91,1.37%
2016-05-25,2829.81,2814.11,2835.5,2814.11,0.69%
2016-05-26,2829.01,2830.77,2834.69,2824.95,-0.02%
2016-05-27,2840.92,2828.74,2840.92,2828.74,0.43%
2016-05-31,2837.01,2841.2,2845.8,2825.78,-0.10%
2016-06-01,2839.85,2832.55,2842.15,2820.64,0.11%
2016-06-02,2847.7,2837.42,2847.7,2825.11,0.29%
2016-06-03,2839.05,2845.81,2845.81,2820.52,-0.29%
2016-06-06,2852.17,2840.54,2857.58,2840.54,0.49%
2016-06-07,2855.55,2852.99,2865.15,2852.99,0.13%
2016-06-08,2864.75,2856.1,2866.78,2856.1,0.33%
2016-06-09,2859.61,2859.88,2862.45,2849.07,-0.17%
2016-06-10,2833.12,2851.37,2851.37,2824.88,-0.92%
2016-06-13,2809.35,2826.51,2835.02,2808.54,-0.81%
2016-06-14,2803.95,2805.84,2812.06,2788.82,-0.18%
2016-06-15,2798.55,2806.8,2817.74,2796.26,-0.18%
2016-06-16,2807.07,2791.4,2809.23,2769.79,0.31%
2016-06-17,2797.62,2807.08,2807.08,2786.28,-0.33%
2016-06-20,2813.04,2802.77,2836.67,2802.77,0.58%
2016-06-21,2820.47,2815.47,2826.95,2812.5,0.27%
2016-06-22,2815.48,2821.42,2834.78,2814.13,-0.17%
2016-06-23,2852.87,2825.2,2852.87,2825.2,1.34%
2016-06-24,2750.15,2839.78,2839.78,2743.67,-3.59%
2016-06-27,2699.58,2741.41,2741.41,2687.71,-1.81%
2016-06-28,2747.36,2707.69,2747.36,2707.69,1.78%
2016-06-29,2793.92,2756.01,2797.03,2756.01,1.70%
2016-06-30,2831.57,2796.9,2831.57,2792.58,1.36%
2016-07-01,2836.7,2831.84,2844.52,2829.95,0.19%
2016-07-05,2816.35,2825.11,2825.11,2805.96,-0.68%
2016-07-06,2831.05,2810.42,2832.4,2796.4,0.53%
2016-07-07,2828.35,2831.72,2843.45,2816.89,-0.09%
2016-07-08,2871.22,2840.35,2873.65,2840.35,1.53%
2016-07-11,2880.25,2872.84,2888.34,2872.84,0.34%
2016-07-12,2900.06,2883.08,2904.51,2883.08,0.70%
2016-07-13,2900.19,2902.08,2905.58,2891.84,0.01%
2016-07-14,2915.28,2907.33,2922.28,2907.33,0.53%
2016-07-15,2912.17,2916.75,2922.14,2904.22,-0.10%
2016-07-18,2918.35,2911.75,2920.24,2908.52,0.24%
2016-07-19,2913.9,2913.9,2914.98,2907.44,-0.14%
2016-07-20,2926.02,2916.73,2929.52,2915.11,0.43%
2016-07-21,2915.24,2925.61,2927.9,2907.97,-0.36%
2016-07-22,2928.16,2916.72,2928.29,2912.27,0.45%
2016-07-25,2918.58,2925.58,2925.58,2909.7,-0.30%
2016-07-26,2919.25,2918.98,2925.04,2907.14,0.03%
2016-07-27,2915.48,2919.78,2926.78,2905.38,-0.12%
2016-07-28,2919.91,2914.53,2923.54,2905.92,0.16%
2016-07-29,2924.35,2917.89,2929.05,2910.76,0.16%
2016-08-01,2919.75,2922.98,2929.84,2913.57,-0.13%
2016-08-02,2900.92,2918.27,2918.67,2888.28,-0.64%
2016-08-03,2909.79,2900.38,2909.79,2894.73,0.32%
2016-08-04,2910.05,2909.11,2915.43,2903.2,0.02%
2016-08-05,2934.92,2915.96,2934.92,2915.96,0.86%
2016-08-08,2931.4,2935.3,2937.45,2927.24,-0.09%
2016-08-09,2932.2,2932.88,2940.27,2928.04,0.04%
2016-08-10,2923.6,2933.41,2934.21,2918.89,-0.28%
2016-08-11,2937.16,2926.68,2940.65,2926.68,0.47%
2016-08-12,2934.6,2934.06,2937.56,2928.28,-0.08%
2016-08-15,2941.96,2936.46,2946.8,2936.46,0.28%
2016-08-16,2925.57,2936.31,2936.31,2925.44,-0.55%
2016-08-17,2930.67,2924.76,2931.88,2912.27,0.18%
